"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ELN",1.07587472057879e-26,0.266377317745484,0.217,0.095,4.38365154899827e-22
"SLC16A10",1.2674504231137e-26,0.467250098036531,0.626,0.47,5.16422674897676e-22
"PTS",1.35826119330635e-26,-0.361429183146964,0.368,0.556,5.53423523212672e-22
"RPS15A",1.44077575435412e-26,-0.407257501768998,0.29,0.469,5.87044081111584e-22
"SPRED1",1.55080302237689e-26,0.381519048279681,0.858,0.773,6.31874691467464e-22
"SMCHD1",1.57345386199868e-26,0.297058227621626,0.917,0.827,6.41103776071361e-22
"NRXN2",1.59159272406895e-26,0.255914956007662,0.886,0.746,6.48494455421893e-22
"NOXA1",1.61197248608392e-26,-0.411906665736649,0.396,0.566,6.56798189454891e-22
"BCL2L14",1.92956505619673e-26,-0.35940612268284,0.157,0.334,7.86201282147356e-22
"PUM1",1.99343477523782e-26,0.25523505402733,0.921,0.826,8.12224999170648e-22
"TRRAP",2.19567144000199e-26,0.288356347307313,0.866,0.742,8.94626328228812e-22
"CDC25B",2.23538832791139e-26,0.351691615626391,0.729,0.571,9.10808974207497e-22
"PDXK",2.25169402594948e-26,0.295543481825705,0.834,0.683,9.17452730873116e-22
"CPEB3",2.32945140866146e-26,0.25040063502832,0.985,0.931,9.49134976459114e-22
"REV1",2.35795175473746e-26,0.30197959888504,0.858,0.728,9.60747442467779e-22
"TRPC3",2.37212891834711e-26,-0.61725779445008,0.048,0.204,9.66523927780529e-22
"OPCML",2.43860448957517e-26,0.336071828338657,0.955,0.95,9.93609399277402e-22
"GSTCD",2.87995631157878e-26,0.405832682423167,0.667,0.504,1.17343819915277e-21
"DENND4A",3.08261489676016e-26,0.269923490888863,0.955,0.873,1.25601143968493e-21
"ABHD3",3.12970683236891e-26,-0.510742741031328,0.218,0.402,1.27519904884871e-21
"SPARC",3.13919966522177e-26,-0.357128887825883,0.099,0.265,1.27906690359461e-21
"CYLD",3.1816564409332e-26,0.308000219497356,0.767,0.619,1.29636591685823e-21
"STK24",3.22193757229991e-26,0.312388208508305,0.728,0.561,1.3127784638336e-21
"ADGRB1",3.22534447717743e-26,0.296719100778665,0.785,0.629,1.31416660722594e-21
"RBFOX1",3.34160389878521e-26,0.410067130498574,0.979,0.971,1.36153650856003e-21
"STXBP5-AS1",3.36109411707976e-26,0.332691809608303,0.652,0.48,1.36947779800415e-21
"ABCG1",3.38636107963268e-26,0.337034312037776,0.467,0.299,1.37977282189634e-21
"SLC5A8",3.51403925682512e-26,0.336501295184136,0.245,0.116,1.4317952951934e-21
