"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C11orf49",0,0.571241332067137,0.923,0.802,0
"C11orf80",0,0.895355117126075,0.944,0.712,0
"C11orf87",0,0.511390848470813,0.617,0.387,0
"C12orf4",0,0.318211017814668,0.633,0.47,0
"C14orf132",0,0.571886577149504,0.594,0.311,0
"C16orf87",0,0.343000787438892,0.55,0.369,0
"C16orf95",0,0.425797097672309,0.462,0.27,0
"C18orf25",0,0.340588018619973,0.681,0.511,0
"C19orf12",0,0.537917832871022,0.632,0.393,0
"C1QL1",0,-0.343447771524854,0.014,0.108,0
"C1QL3",0,0.692731218240579,0.385,0.05,0
"C1orf115",0,0.299412368545382,0.321,0.131,0
"C1orf159",0,0.617748153015481,0.687,0.431,0
"C1orf21",0,0.544774542930837,0.889,0.744,0
"C1orf216",0,0.257593645379994,0.351,0.188,0
"C20orf194",0,0.638441430852573,0.956,0.894,0
"C22orf24",0,0.253641051655693,0.172,0.037,0
"C2CD2",0,0.394554869854327,0.502,0.347,0
"C2CD2L",0,0.318595826481922,0.468,0.292,0
"C2CD3",0,0.335181584980967,0.688,0.535,0
"C2CD5",0,0.474403509166242,0.946,0.86,0
"C2orf27A",0,0.431400056674177,0.537,0.302,0
"C2orf80",0,0.54474320210793,0.605,0.332,0
"C3orf70",0,0.409739425869661,0.489,0.292,0
"C4orf47",0,0.350198129247102,0.605,0.421,0
"C4orf50",0,0.618187794663517,0.722,0.473,0
"C5AR1",0,0.28490238055674,0.228,0.075,0
"C5orf17",0,0.928118489248839,0.332,0.203,0
"C6orf62",0,0.384881381484062,0.748,0.585,0
"C7orf50",0,0.369746476318219,0.661,0.486,0
"C8orf34",0,0.837242126698521,0.907,0.645,0
"C8orf44",0,0.55008626941545,0.717,0.477,0
"C9orf16",0,0.378803033666495,0.496,0.302,0
"CA10",0,2.03601641943582,0.922,0.31,0
"CA11",0,0.647085578574995,0.685,0.383,0
"CA8",0,-0.677235794043782,0.077,0.207,0
"CAB39",0,0.400098676296728,0.787,0.655,0
"CAB39L",0,0.401731038181182,0.625,0.446,0
"CABCOCO1",0,0.356502829718694,0.376,0.193,0
"CABIN1",0,0.438250740322441,0.774,0.606,0
"CABP1",0,0.985696664180455,0.848,0.508,0
"CACHD1",0,1.00458710395377,0.837,0.488,0
"CACNA1A",0,1.11562415616283,0.987,0.845,0
"CACNA1B",0,0.991426791918814,0.995,0.844,0
"CACNA1C",0,1.26025797285877,0.998,0.884,0
"CACNA1D",0,0.694037121274905,0.975,0.838,0
"CACNA1E",0,0.984213340954891,0.977,0.823,0
"CACNA1H",0,0.509019994631805,0.418,0.154,0
"CACNA1I",0,0.775403442066306,0.604,0.247,0
"CACNA2D1",0,1.13585288281714,0.988,0.799,0
"CACNA2D2",0,-0.538099272698893,0.089,0.315,0
"CACNB2",0,0.833295968361146,0.991,0.861,0
"CACNB3",0,0.371544083406908,0.436,0.223,0
"CACNG3",0,1.05417932060052,0.89,0.612,0
"CACNG7",0,0.329543177095143,0.613,0.46,0
"CACNG8",0,0.779248175020083,0.862,0.641,0
"CACUL1",0,0.475457559311754,0.815,0.656,0
"CADM1",0,0.698736068648259,0.992,0.939,0
"CADM2",0,1.00188764681223,0.999,0.962,0
"CADM3",0,0.29640117552838,0.69,0.537,0
"CADM4",0,-0.291964867370221,0.12,0.286,0
"CADPS",0,1.08959977292444,0.997,0.881,0
"CADPS2",0,0.77968422209733,0.703,0.348,0
"CALCOCO2",0,0.274841702638548,0.541,0.387,0
"CALM1",0,0.315275748062712,0.947,0.888,0
"CALM3",0,0.291838256036077,0.818,0.663,0
"CALN1",0,0.733514660456688,0.93,0.729,0
"CAMK1",0,0.572777063664313,0.618,0.345,0
"CAMK1D",0,1.71399907156607,0.99,0.824,0
"CAMK2A",0,1.45115060257505,0.96,0.677,0
"CAMK2B",0,0.744981989781019,0.939,0.777,0
"CAMK2D",0,1.16120460413075,0.988,0.855,0
"CAMK2G",0,0.298784440723248,0.769,0.631,0
"CAMK2N1",0,1.1166880296953,0.924,0.69,0
"CAMK4",0,0.895983380086813,0.955,0.755,0
"CAMKK1",0,0.831372599027697,0.749,0.441,0
"CAMKK2",0,0.909008347554534,0.743,0.368,0
"CAMSAP1",0,0.51849851763777,0.737,0.54,0
"CAMSAP2",0,0.401917293136259,0.946,0.876,0
"CAMTA1",0,0.461080470919558,0.988,0.948,0
"CAMTA2",0,0.300301840193466,0.474,0.308,0
"CAP1",0,0.339372728121278,0.489,0.307,0
